4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
GTE FCU (GTE Financial),196,6,Tampa,,USA,FL,Southeast,"$2,962,767,527",Large,"238,585","$2,529,477,491","787,675","$2,392,022,905","142,128",94.6%,Y,Y,Y,,"$12,418",3.90,$6.79,"$5,293",Y,,,,,,,,,,,,,,,,,,,,,,
Fox Communities,66731,6,Appleton,,USA,WI,Midwest,"$2,943,394,453",Large,"130,576","$2,332,781,570","277,275","$2,233,423,931","72,089",95.7%,,,,Y,"$22,542",2.68,$39.88,"$13,070",,,,,,,,,,,,,,,,,,,,,,,
CU of Colorado,24854,6,Denver,,USA,CO,Western,"$2,898,366,261",Large,"170,806","$2,190,654,580","472,564","$1,669,332,903","87,059",76.2%,,,,,"$16,969",3.28,$86.11,"$6,897",Y,,,,,,Y,,,,,,,,,,,,,,Y,,
Altra FCU,24077,6,La Crosse,Onalaska,USA,WI,Midwest,"$2,878,411,462",Large,"149,232","$2,178,027,838","317,514","$2,504,306,920","99,137",115.0%,Y,,Y,Y,"$19,288",2.79,$30.69,"$11,238",,,,,,Y,,,Y,,,,,,,,,,,,,,
Eglin,9788,6,Ft Walton Beach,,USA,FL,Southeast,"$2,858,460,095",Large,"124,053","$2,495,486,664","241,971","$1,018,252,076","56,855",40.8%,,,,,"$23,042",2.41,$53.69,"$11,758",,,,,,,,,,,,,,,,,,,,,,,
Achieva CU,60087,6,Tampa,Dunedin,USA,FL,Southeast,"$2,853,049,747",Large,"196,747","$2,611,357,435","364,326","$2,062,360,642","237,676",79.0%,,,,,"$14,501",3.06,$21.59,"$7,764",Y,Y,Y,,,Y,,,,,,,,,,Y,,,,,Y,,
Whatcom Educational CU (WECU),66373,6,Bellingham,,USA,WA,Cascadia,"$2,836,604,746",Large,"159,511","$2,283,105,626","240,787","$2,129,357,798","90,180",93.3%,Y,,Y,,"$17,783",2.07,$21.70,"$13,332",Y,Y,,,,,,,,,,,,,,,,,,,,,
Community First CU of Florida (Community First CU),67290,6,Jacksonville,,USA,FL,Southeast,"$2,797,142,886",Large,"174,187","$2,296,981,110","349,458","$1,927,096,801","81,704",83.9%,,,,,"$16,058",2.48,$21.25,"$9,797",Y,Y,Y,,,Y,,,Y,,,,,,,Y,,,,,,,
State Department FCU (SDFCU),435,6,Washington,"Alexandria, VA",USA,DC,Mid-Atlantic,"$2,793,355,503",Large,"88,878","$2,241,397,277","191,103","$1,413,355,519","60,048",63.1%,,,,Y,"$31,429",2.83,$21.24,"$14,552",Y,Y,,,,Y,,,,,,,,,,,,,,,,,
SELCO Community CU,63196,6,Eugene,Springfield,USA,OR,Cascadia,"$2,770,693,953",Large,"151,769","$2,487,809,670","311,730","$1,890,961,711","82,735",76.0%,Y,Y,Y,Y,"$18,256",2.60,$29.05,"$11,101",,,,,,,,,,,,,,,,,,,,,,,
American Eagle Financial CU,68659,6,Hartford,East Hartford,USA,CT,New England,"$2,734,370,072",Large,"181,934","$2,447,678,715","368,244","$1,553,320,945","64,392",63.5%,,,,,"$15,029",2.38,$3.52,"$9,248",Y,,,,,,,,,,,,,,,,,,,Y,,,
Altura CU,62799,6,Los Angeles,Riverside,USA,CA,Western,"$2,707,381,215",Large,"193,201","$2,158,242,604","324,246","$1,716,215,014","94,138",79.5%,,,,,"$14,013",2.17,$22.85,"$9,261",Y,,,,,,,,,,,,,,,,,,,,Y,,
AmeriCU CU,68433,6,Utica,Rome,USA,NY,Mid-Atlantic,"$2,680,262,890",Large,"161,920","$2,173,760,659","323,472","$2,258,236,811","98,045",103.9%,,,,Y,"$16,553",2.60,$17.78,"$10,514",Y,Y,,,,Y,,,,,,,,,,,,Y,,,,,"Near Nate's hometown (Syracuse, NY)"
Orange County's CU,68416,6,Los Angeles,Santa Ana,USA,CA,Western,"$2,676,266,026",Large,"141,507","$2,216,757,162","291,820","$1,937,390,968","66,550",87.4%,,Y,Y,Y,"$18,913",2.53,$21.92,"$11,592",Y,Y,,,,,,,,,,,,,,,,,,,,,
Tennessee Valley,1520,6,Chattanooga,,USA,TN,Southeast,"$2,670,507,027",Large,"165,993","$2,282,156,305","287,261","$1,948,709,600","61,952",85.4%,,,,,"$16,088",2.10,$68.71,"$12,115",,,,,,,,,,,,,,,,,,,,,,,
Lake Trust CU (Lake Trust),62047,6,Detroit,Brighton,USA,MI,Midwest,"$2,667,388,432",Large,"181,214","$2,323,042,977","364,054","$1,916,759,437","71,763",82.5%,Y,Y,Y,,"$14,720",2.40,$12.45,"$9,728",Y,Y,,,,Y,,Y,Y,,,,,,,,,,,,,,Was an early partner of Nickels
Newport News Shipbuilding Employees,61330,6,Newport News,,USA,VA,Mid-Atlantic,"$2,657,122,497",Large,"152,801","$2,137,573,809","313,113","$1,866,550,017","126,968",87.3%,Y,Y,Y,Y,"$17,389",2.88,$21.00,"$9,099",,,,,,,,,,,,,,,,,,,,,,,
JSC FCU (Wellby Financial),14762,6,Houston,,USA,TX,South Central,"$2,655,074,793",Large,"129,166","$2,357,656,512","269,004","$1,852,234,882","74,776",78.6%,,,,Y,"$20,556",2.66,$24.80,"$12,246",Y,,,,,,,,,,,,,,,,,,,,,,
Together CU,62715,6,St Louis,,USA,MO,Midwest,"$2,654,240,771",Large,"141,051","$2,094,520,083","318,690","$1,900,932,347","184,391",90.8%,,,,,"$18,818",3.57,$15.37,"$7,942",,,,,,,,,Y,,,,,,,,,,Y,,,,
First Community CU (FCCU) (TX),66818,6,Houston,,USA,TX,South Central,"$2,619,404,117",Large,"162,097","$1,982,259,224","321,256","$1,983,832,879","97,391",100.1%,,,,Y,"$16,159",2.58,$11.73,"$9,474",Y,,,,,,,,,,,,,,,,,,,,,,
Andrews FCU,5754,6,Washington,"Suitland, MD",USA,DC,Mid-Atlantic,"$2,602,537,732",Large,"132,280","$1,949,223,369","244,409","$1,868,627,320","163,297",95.9%,,,,Y,"$19,674",3.08,$27.80,"$9,364",Y,,,,,,,,,,,,,,,,,,,,Y,,
Workers FCU (Workers CU),24923,6,Littleton,,USA,MA,New England,"$2,599,959,465",Large,"123,615","$1,632,333,886","186,160","$1,615,570,693","48,664",99.0%,Y,Y,Y,,"$21,033",1.90,-$61.37,"$13,831",,,,,,,,,Y,,,,,,,,,,,,,,
TTCU FCU,24887,6,Tulsa,,USA,OK,South Central,"$2,597,499,237",Large,"153,605","$1,959,123,425","301,043","$1,561,930,706","77,844",79.7%,,,,,"$16,910",2.47,-$14.45,"$9,293",,,,,,,,,,Y,,,,,,,,,,,,,
South Carolina,1022,6,Charleston,North Charleston,USA,SC,Southeast,"$2,580,416,175",Large,"175,551","$1,970,463,296","309,418","$1,983,247,012","96,508",100.6%,,,,,"$14,699",2.31,$34.48,"$9,740",,,,,,,,,,,,,,,,,,,,,,,
A+ FCU,6178,6,Austin,,USA,TX,South Central,"$2,572,227,584",Large,"191,480","$1,932,216,805","472,951","$2,204,015,082","82,563",114.1%,,,,,"$13,433",2.90,$24.53,"$7,446",Y,,,,,,,,,,,,,,,,,,,,,,
Polish and Slavic FCU (PSFCU),22592,6,New York,Brooklyn,USA,NY,Mid-Atlantic,"$2,559,550,124",Large,"118,684","$2,401,002,504","254,818","$1,523,552,374","38,531",63.5%,,,,,"$21,566",2.47,$38.77,"$13,378",,,,,,,,,,,,,,,,,,,,,,,
Partners FCU,18708,6,Orlando,Burbank,USA,FL,Southeast,"$2,552,931,063",Large,"178,543","$2,237,299,548","364,094","$2,099,186,890","137,403",93.8%,,Y,Y,Y,"$14,299",2.81,$63.42,"$8,647",Y,Y,,,,,,,,,,,,,,,,,,,,,
CU of Texas,66327,6,Dallas,Allen,USA,TX,South Central,"$2,544,310,989",Large,"163,222","$1,941,088,104","289,191","$2,212,514,355","89,423",114.0%,,,,,"$15,588",2.32,$5.89,"$10,971",Y,,,,,,,,,,,,,,,,,,,,,,
Your Neighbourhood CU,,,Kitchener,,Canada,ON,Mid-Atlantic,"C$2,514,338,000",Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGE Community CU,68581,6,Atlanta,Marietta,USA,GA,Southeast,"$2,512,756,575",Large,"132,287","$2,092,072,778","233,967","$1,535,637,636","72,542",73.4%,,,,,"$18,995",2.32,$19.98,"$11,836",Y,,,,,,,,,,,,,,,,,,,,,,
America's First FCU (AmFirst),24534,6,Birmingham,,USA,AL,Southeast,"$2,497,762,099",Large,"195,039","$2,203,975,411","361,875","$1,919,982,185","116,306",87.1%,,,,,"$12,806",2.45,$31.55,"$8,624",Y,Y,Y,,,,,,,,,,,,,Y,,,,,Y,,
Capital,66865,6,Green Bay,,USA,WI,Midwest,"$2,466,624,071",Large,"118,730","$1,988,935,234","240,418","$2,023,812,723","74,289",101.8%,,,,Y,"$20,775",2.65,$36.89,"$12,751",,,,,,,,,,,,,,,,,,,,,,,
Barksdale,9589,6,Barksdale Afb,,USA,LA,Southeast,"$2,460,279,648",Large,"154,805","$2,081,767,711","295,025","$1,384,391,060","74,630",66.5%,,,,,"$15,893",2.39,$11.72,"$9,377",,,,,,,,,,,,,,,,,,,,,,,
Elements Financial FCU (Elements Financial),22468,6,Indianapolis,,USA,IN,Midwest,"$2,455,705,744",Large,"101,489","$2,030,120,037","177,734","$1,605,962,812","48,730",79.1%,,,,,"$24,197",2.23,$35.78,"$16,056",,,,,,,,,,,,,,,,,,,,,,,
Arkansas,10920,6,Little Rock,,USA,AR,South Central,"$2,452,487,786",Large,"154,091","$1,779,891,184","269,023","$2,075,527,209","91,285",116.6%,,,,,"$15,916",2.34,$18.00,"$10,700",,,,,,,,,,,,,,,,,,,,,,,
Hawaiiusa,1815,6,Honolulu,,USA,HI,Western,"$2,445,763,691",Large,"131,656","$2,146,523,688","265,609","$1,407,788,995","41,450",65.6%,,,,,"$18,577",2.33,$9.32,"$11,575",,,,,,,,,,,,,,,,,,,,,,,
Austin Telco FCU,4584,6,Austin,,USA,TX,South Central,"$2,445,268,549",Large,"93,078","$1,791,179,275","179,271","$1,690,119,549","56,846",94.4%,,,,Y,"$26,271",2.54,$28.58,"$14,744",Y,,,,,,,,,,,,,,,,,,,,,,
Atlanta Postal CU (APCU/Center Parc),67389,6,Atlanta,,USA,GA,Southeast,"$2,438,958,987",Large,"105,508","$2,128,609,117","190,919","$1,592,904,567","170,594",74.8%,,,,,"$23,116",3.43,-$34.40,"$10,294",Y,Y,Y,,,,,,,,,,,,,,,,,,,,
